Blocks: '[0:82:1996:5:1, -1:82:1997:5:1, 0:82:1997:5:1, 1:82:1997:5:1, -2:82:1998:5:1,
  5:85:1994:172, -6:85:1995:172, -5:85:1995:172, -4:85:1995:172, -3:85:1995:172, -2:85:1995:172,
  -1:85:1995:172, 0:85:1995:172, 1:85:1995:172, 2:85:1995:172, 3:85:1995:172, 4:85:1995:172,
  5:85:1995:172, 6:85:1995:172, -7:85:1996:172, -6:85:1996:172, -5:85:1996:172, -4:85:1996:172,
  -3:85:1996:172, -2:85:1996:172, -1:85:1996:172, 0:85:1996:172, 1:85:1996:172, 2:85:1996:172,
  3:85:1996:172, 4:85:1996:172, 5:85:1996:172, 6:85:1996:172, 7:85:1996:172, -7:85:1997:172,
  -6:85:1997:172, -5:85:1997:172, -4:85:1997:172, -3:85:1997:172, -2:85:1997:172,
  -1:85:1997:172, 0:85:1997:172, 1:85:1997:172, 2:85:1997:172, 3:85:1997:172, 4:85:1997:172,
  5:85:1997:172, 6:85:1997:172, 7:85:1997:172, -7:85:1998:172, -6:85:1998:172, -5:85:1998:172,
  -4:85:1998:172, -3:85:1998:172, -2:85:1998:172, -1:85:1998:172, 0:85:1998:172, 1:85:1998:172,
  2:85:1998:172, 3:85:1998:172, 4:85:1998:172, 5:85:1998:172, 6:85:1998:172, 7:85:1998:172,
  -8:85:1999:172, -7:85:1999:172, -6:85:1999:172, -5:85:1999:172, -4:85:1999:172,
  -3:85:1999:172, -2:85:1999:172, -1:85:1999:172, 0:85:1999:172, 1:85:1999:172, 2:85:1999:172,
  3:85:1999:172, 4:85:1999:172, 5:85:1999:172, 6:85:1999:172, 7:85:1999:172, 8:85:1999:172,
  -9:85:2000:5:1, -8:85:2000:172, -7:85:2000:172, -6:85:2000:172, -5:85:2000:172,
  -4:85:2000:172, -3:85:2000:172, -2:85:2000:172, -1:85:2000:172, 0:85:2000:172, 1:85:2000:172,
  2:85:2000:172, 3:85:2000:172, 4:85:2000:172, 5:85:2000:172, 6:85:2000:172, 7:85:2000:172,
  8:85:2000:172, 9:85:2000:5:1, -8:85:2001:172, -7:85:2001:172, -6:85:2001:172, -5:85:2001:172,
  -4:85:2001:172, -3:85:2001:172, -2:85:2001:172, -1:85:2001:172, 0:85:2001:172, 1:85:2001:172,
  2:85:2001:172, 3:85:2001:172, 4:85:2001:172, 5:85:2001:172, 6:85:2001:172, 7:85:2001:172,
  8:85:2001:172, -7:85:2002:172, -6:85:2002:172, -5:85:2002:172, -4:85:2002:172, -3:85:2002:172,
  -2:85:2002:172, -1:85:2002:172, 0:85:2002:172, 1:85:2002:172, 2:85:2002:172, 3:85:2002:172,
  4:85:2002:172, 5:85:2002:172, 6:85:2002:172, 7:85:2002:172, -7:85:2003:172, -6:85:2003:172,
  -5:85:2003:172, -4:85:2003:172, -3:85:2003:172, -2:85:2003:172, -1:85:2003:172,
  0:85:2003:172, 1:85:2003:172, 2:85:2003:172, 3:85:2003:172, 4:85:2003:172, 5:85:2003:172,
  6:85:2003:172, 7:85:2003:172, -7:85:2004:172, -6:85:2004:172, -5:85:2004:172, -4:85:2004:172,
  -3:85:2004:172, -2:85:2004:172, -1:85:2004:172, 0:85:2004:172, 1:85:2004:172, 2:85:2004:172,
  3:85:2004:172, 4:85:2004:172, 5:85:2004:172, 6:85:2004:172, 7:85:2004:172, -6:85:2005:172,
  -5:85:2005:172, -4:85:2005:172, -3:85:2005:172, -2:85:2005:172, -1:85:2005:172,
  0:85:2005:172, 1:85:2005:172, 2:85:2005:172, 3:85:2005:172, 4:85:2005:172, 5:85:2005:172,
  6:85:2005:172, -5:85:2006:172, -4:85:2006:172, -3:85:2006:172, -2:85:2006:172, -1:85:2006:172,
  0:85:2006:172, 1:85:2006:172, 2:85:2006:172, 3:85:2006:172, 4:85:2006:172, 5:85:2006:172,
  -4:85:2007:172, -3:85:2007:172, -2:85:2007:172, -1:85:2007:172, 0:85:2007:172, 1:85:2007:172,
  2:85:2007:172, 3:85:2007:172, 4:85:2007:172, -1:85:2008:172, 0:85:2008:172, 1:85:2008:172,
  0:85:2009:5:1, 0:86:1990:5:1, -2:86:1991:172, -1:86:1991:172, 0:86:1991:172, 1:86:1991:172,
  2:86:1991:172, -5:86:1992:172, -4:86:1992:172, -3:86:1992:172, -2:86:1992:172, -1:86:1992:172,
  0:86:1992:172, 1:86:1992:172, 2:86:1992:172, 3:86:1992:172, 4:86:1992:172, 5:86:1992:172,
  -6:86:1993:172, -5:86:1993:172, -4:86:1993:172, -3:86:1993:172, -2:86:1993:172,
  -1:86:1993:172, 0:86:1993:172, 1:86:1993:172, 2:86:1993:172, 3:86:1993:172, 4:86:1993:172,
  5:86:1993:172, 6:86:1993:172, -7:86:1994:172, -6:86:1994:172, -5:86:1994:172, -4:86:1994:172,
  -3:86:1994:172, -2:86:1994:172, -1:86:1994:172, 0:86:1994:172, 1:86:1994:172, 2:86:1994:172,
  3:86:1994:172, 4:86:1994:172, 5:86:1994:172, 6:86:1994:172, 7:86:1994:172, -8:86:1995:172,
  -7:86:1995:172, -6:86:1995:172, -5:86:1995:172, -4:86:1995:172, -3:86:1995:172,
  -2:86:1995:172, -1:86:1995:172, 0:86:1995:172, 1:86:1995:172, 2:86:1995:172, 3:86:1995:172,
  4:86:1995:172, 5:86:1995:172, 6:86:1995:172, 7:86:1995:172, 8:86:1995:172, -8:86:1996:172,
  -7:86:1996:172, -6:86:1996:172, -5:86:1996:172, -4:86:1996:172, -3:86:1996:172,
  -2:86:1996:172, -1:86:1996:172, 0:86:1996:172, 1:86:1996:172, 2:86:1996:172, 3:86:1996:172,
  4:86:1996:172, 5:86:1996:172, 6:86:1996:172, 7:86:1996:172, 8:86:1996:172, -8:86:1997:172,
  -7:86:1997:172, -6:86:1997:172, -5:86:1997:172, -4:86:1997:172, -3:86:1997:172,
  -2:86:1997:172, -1:86:1997:172, 0:86:1997:172, 1:86:1997:172, 2:86:1997:172, 3:86:1997:172,
  4:86:1997:172, 5:86:1997:172, 6:86:1997:172, 7:86:1997:172, 8:86:1997:172, -9:86:1998:172,
  -8:86:1998:172, -7:86:1998:172, -6:86:1998:172, -5:86:1998:172, -4:86:1998:172,
  -3:86:1998:172, -2:86:1998:172, -1:86:1998:172, 0:86:1998:172, 1:86:1998:172, 2:86:1998:172,
  3:86:1998:172, 4:86:1998:172, 5:86:1998:172, 6:86:1998:172, 7:86:1998:172, 8:86:1998:172,
  9:86:1998:172, -9:86:1999:172, -8:86:1999:172, -7:86:1999:172, -6:86:1999:172, -5:86:1999:172,
  -4:86:1999:172, -3:86:1999:172, -2:86:1999:172, -1:86:1999:172, 0:86:1999:172, 1:86:1999:172,
  2:86:1999:172, 3:86:1999:172, 4:86:1999:172, 5:86:1999:172, 6:86:1999:172, 7:86:1999:172,
  8:86:1999:172, 9:86:1999:172, -10:86:2000:5:1, -9:86:2000:172, -8:86:2000:172, -7:86:2000:172,
  -6:86:2000:172, -5:86:2000:172, -4:86:2000:172, -3:86:2000:172, -2:86:2000:172,
  -1:86:2000:172, 0:86:2000:172, 1:86:2000:172, 2:86:2000:172, 3:86:2000:172, 4:86:2000:172,
  5:86:2000:172, 6:86:2000:172, 7:86:2000:172, 8:86:2000:172, 9:86:2000:172, 10:86:2000:5:1,
  -9:86:2001:172, -8:86:2001:172, -7:86:2001:172, -6:86:2001:172, -5:86:2001:172,
  -4:86:2001:172, -3:86:2001:172, -2:86:2001:172, -1:86:2001:172, 0:86:2001:172, 1:86:2001:172,
  2:86:2001:172, 3:86:2001:172, 4:86:2001:172, 5:86:2001:172, 6:86:2001:172, 7:86:2001:172,
  8:86:2001:172, 9:86:2001:172, -9:86:2002:172, -8:86:2002:172, -7:86:2002:172, -6:86:2002:172,
  -5:86:2002:172, -4:86:2002:172, -3:86:2002:172, -2:86:2002:172, -1:86:2002:172,
  0:86:2002:172, 1:86:2002:172, 2:86:2002:172, 3:86:2002:172, 4:86:2002:172, 5:86:2002:172,
  6:86:2002:172, 7:86:2002:172, 8:86:2002:172, 9:86:2002:172, -8:86:2003:172, -7:86:2003:172,
  -6:86:2003:172, -5:86:2003:172, -4:86:2003:172, -3:86:2003:172, -2:86:2003:172,
  -1:86:2003:172, 0:86:2003:172, 1:86:2003:172, 2:86:2003:172, 3:86:2003:172, 4:86:2003:172,
  5:86:2003:172, 6:86:2003:172, 7:86:2003:172, 8:86:2003:172, -8:86:2004:172, -7:86:2004:172,
  -6:86:2004:172, -5:86:2004:172, -4:86:2004:172, -3:86:2004:172, -2:86:2004:172,
  -1:86:2004:172, 0:86:2004:172, 1:86:2004:172, 2:86:2004:172, 3:86:2004:172, 4:86:2004:172,
  5:86:2004:172, 6:86:2004:172, 7:86:2004:172, 8:86:2004:172, -8:86:2005:172, -7:86:2005:172,
  -6:86:2005:172, -5:86:2005:172, -4:86:2005:172, -3:86:2005:172, -2:86:2005:172,
  -1:86:2005:172, 0:86:2005:172, 1:86:2005:172, 2:86:2005:172, 3:86:2005:172, 4:86:2005:172,
  5:86:2005:172, 6:86:2005:172, 7:86:2005:172, 8:86:2005:172, -7:86:2006:172, -6:86:2006:172,
  -5:86:2006:172, -4:86:2006:172, -3:86:2006:172, -2:86:2006:172, -1:86:2006:172,
  0:86:2006:172, 1:86:2006:172, 2:86:2006:172, 3:86:2006:172, 4:86:2006:172, 5:86:2006:172,
  6:86:2006:172, 7:86:2006:172, -6:86:2007:172, -5:86:2007:172, -4:86:2007:172, -3:86:2007:172,
  -2:86:2007:172, -1:86:2007:172, 0:86:2007:172, 1:86:2007:172, 2:86:2007:172, 3:86:2007:172,
  4:86:2007:172, 5:86:2007:172, 6:86:2007:172, -5:86:2008:172, -4:86:2008:172, -3:86:2008:172,
  -2:86:2008:172, -1:86:2008:172, 0:86:2008:172, 1:86:2008:172, 2:86:2008:172, 3:86:2008:172,
  4:86:2008:172, 5:86:2008:172, -2:86:2009:172, -1:86:2009:172, 0:86:2009:172, 1:86:2009:172,
  2:86:2009:172, 0:86:2010:5:1, 0:87:1989:5:1, -3:87:1990:172, -2:87:1990:172, -1:87:1990:172,
  0:87:1990:172, 1:87:1990:172, 2:87:1990:172, 3:87:1990:172, -5:87:1991:172, -4:87:1991:172,
  -3:87:1991:172, -2:87:1991:172, -1:87:1991:172, 0:87:1991:172, 1:87:1991:172, 2:87:1991:172,
  3:87:1991:172, 4:87:1991:172, 5:87:1991:172, -6:87:1992:172, -5:87:1992:172, -4:87:1992:172,
  -3:87:1992:172, -2:87:1992:172, -1:87:1992:172, 0:87:1992:172, 1:87:1992:172, 2:87:1992:172,
  3:87:1992:172, 4:87:1992:172, 5:87:1992:172, 6:87:1992:172, -7:87:1993:172, -6:87:1993:172,
  -5:87:1993:172, -4:87:1993:172, -3:87:1993:172, -2:87:1993:172, -1:87:1993:172,
  0:87:1993:172, 1:87:1993:172, 2:87:1993:172, 3:87:1993:172, 4:87:1993:172, 5:87:1993:172,
  6:87:1993:172, 7:87:1993:172, -8:87:1994:172, -7:87:1994:172, -6:87:1994:172, -5:87:1994:172,
  -4:87:1994:172, -3:87:1994:172, -2:87:1994:172, -1:87:1994:172, 0:87:1994:172, 1:87:1994:172,
  2:87:1994:172, 3:87:1994:172, 4:87:1994:172, 5:87:1994:172, 6:87:1994:172, 7:87:1994:172,
  8:87:1994:172, -9:87:1995:172, -8:87:1995:172, -7:87:1995:172, -6:87:1995:172, -5:87:1995:172,
  -4:87:1995:172, -3:87:1995:172, -2:87:1995:172, -1:87:1995:172, 0:87:1995:172, 1:87:1995:172,
  2:87:1995:172, 3:87:1995:172, 4:87:1995:172, 5:87:1995:172, 6:87:1995:172, 7:87:1995:172,
  8:87:1995:172, 9:87:1995:172, -9:87:1996:172, -8:87:1996:172, -7:87:1996:172, -6:87:1996:172,
  -5:87:1996:172, -4:87:1996:172, -3:87:1996:172, -2:87:1996:172, -1:87:1996:172,
  0:87:1996:172, 1:87:1996:172, 2:87:1996:172, 3:87:1996:172, 4:87:1996:172, 5:87:1996:172,
  6:87:1996:172, 7:87:1996:172, 8:87:1996:172, 9:87:1996:172, -10:87:1997:172, -9:87:1997:172,
  -8:87:1997:172, -7:87:1997:172, -6:87:1997:172, -5:87:1997:172, -4:87:1997:172,
  -3:87:1997:172, -2:87:1997:172, -1:87:1997:172, 0:87:1997:172, 1:87:1997:172, 2:87:1997:172,
  3:87:1997:172, 4:87:1997:172, 5:87:1997:172, 6:87:1997:172, 7:87:1997:172, 8:87:1997:172,
  9:87:1997:172, 10:87:1997:172, -10:87:1998:172, -9:87:1998:172, -8:87:1998:172,
  -7:87:1998:172, -6:87:1998:172, -5:87:1998:172, -4:87:1998:172, -3:87:1998:172,
  -2:87:1998:172, -1:87:1998:172, 0:87:1998:172, 1:87:1998:172, 2:87:1998:172, 3:87:1998:172,
  4:87:1998:172, 5:87:1998:172, 6:87:1998:172, 7:87:1998:172, 8:87:1998:172, 9:87:1998:172,
  10:87:1998:172, -10:87:1999:172, -9:87:1999:172, -8:87:1999:172, -7:87:1999:172,
  -6:87:1999:172, -5:87:1999:172, -4:87:1999:172, -3:87:1999:172, -2:87:1999:172,
  -1:87:1999:172, 0:87:1999:172, 1:87:1999:172, 2:87:1999:172, 3:87:1999:172, 4:87:1999:172,
  5:87:1999:172, 6:87:1999:172, 7:87:1999:172, 8:87:1999:172, 9:87:1999:172, 10:87:1999:172,
  -11:87:2000:5:1, -10:87:2000:172, -9:87:2000:172, -8:87:2000:172, -7:87:2000:172,
  -6:87:2000:172, -5:87:2000:172, -4:87:2000:172, -3:87:2000:172, -2:87:2000:172,
  -1:87:2000:172, 0:87:2000:172, 1:87:2000:172, 2:87:2000:172, 3:87:2000:172, 4:87:2000:172,
  5:87:2000:172, 6:87:2000:172, 7:87:2000:172, 8:87:2000:172, 9:87:2000:172, 10:87:2000:172,
  11:87:2000:5:1, -10:87:2001:172, -9:87:2001:172, -8:87:2001:172, -7:87:2001:172,
  -6:87:2001:172, -5:87:2001:172, -4:87:2001:172, -3:87:2001:172, -2:87:2001:172,
  -1:87:2001:172, 0:87:2001:172, 1:87:2001:172, 2:87:2001:172, 3:87:2001:172, 4:87:2001:172,
  5:87:2001:172, 6:87:2001:172, 7:87:2001:172, 8:87:2001:172, 9:87:2001:172, 10:87:2001:172,
  -10:87:2002:172, -9:87:2002:172, -8:87:2002:172, -7:87:2002:172, -6:87:2002:172,
  -5:87:2002:172, -4:87:2002:172, -3:87:2002:172, -2:87:2002:172, -1:87:2002:172,
  0:87:2002:172, 1:87:2002:172, 2:87:2002:172, 3:87:2002:172, 4:87:2002:172, 5:87:2002:172,
  6:87:2002:172, 7:87:2002:172, 8:87:2002:172, 9:87:2002:172, 10:87:2002:172, -10:87:2003:172,
  -9:87:2003:172, -8:87:2003:172, -7:87:2003:172, -6:87:2003:172, -5:87:2003:172,
  -4:87:2003:172, -3:87:2003:172, -2:87:2003:172, -1:87:2003:172, 0:87:2003:172, 1:87:2003:172,
  2:87:2003:172, 3:87:2003:172, 4:87:2003:172, 5:87:2003:172, 6:87:2003:172, 7:87:2003:172,
  8:87:2003:172, 9:87:2003:172, 10:87:2003:172, -9:87:2004:172, -8:87:2004:172, -7:87:2004:172,
  -6:87:2004:172, -5:87:2004:172, -4:87:2004:172, -3:87:2004:172, -2:87:2004:172,
  -1:87:2004:172, 0:87:2004:172, 1:87:2004:172, 2:87:2004:172, 3:87:2004:172, 4:87:2004:172,
  5:87:2004:172, 6:87:2004:172, 7:87:2004:172, 8:87:2004:172, 9:87:2004:172, -9:87:2005:172,
  -8:87:2005:172, -7:87:2005:172, -6:87:2005:172, -5:87:2005:172, -4:87:2005:172,
  -3:87:2005:172, -2:87:2005:172, -1:87:2005:172, 0:87:2005:172, 1:87:2005:172, 2:87:2005:172,
  3:87:2005:172, 4:87:2005:172, 5:87:2005:172, 6:87:2005:172, 7:87:2005:172, 8:87:2005:172,
  9:87:2005:172, -8:87:2006:172, -7:87:2006:172, -6:87:2006:172, -5:87:2006:172, -4:87:2006:172,
  -3:87:2006:172, -2:87:2006:172, -1:87:2006:172, 0:87:2006:172, 1:87:2006:172, 2:87:2006:172,
  3:87:2006:172, 4:87:2006:172, 5:87:2006:172, 6:87:2006:172, 7:87:2006:172, 8:87:2006:172,
  -7:87:2007:172, -6:87:2007:172, -5:87:2007:172, -4:87:2007:172, -3:87:2007:172,
  -2:87:2007:172, -1:87:2007:172, 0:87:2007:172, 1:87:2007:172, 2:87:2007:172, 3:87:2007:172,
  4:87:2007:172, 5:87:2007:172, 6:87:2007:172, 7:87:2007:172, -6:87:2008:172, -5:87:2008:172,
  -4:87:2008:172, -3:87:2008:172, -2:87:2008:172, -1:87:2008:172, 0:87:2008:172, 1:87:2008:172,
  2:87:2008:172, 3:87:2008:172, 4:87:2008:172, 5:87:2008:172, 6:87:2008:172, -5:87:2009:172,
  -4:87:2009:172, -3:87:2009:172, -2:87:2009:172, -1:87:2009:172, 0:87:2009:172, 1:87:2009:172,
  2:87:2009:172, 3:87:2009:172, 4:87:2009:172, 5:87:2009:172, -3:87:2010:172, -2:87:2010:172,
  -1:87:2010:172, 0:87:2010:172, 1:87:2010:172, 2:87:2010:172, 3:87:2010:172, 0:87:2011:5:1,
  0:88:1988:5:1, -2:88:1989:172, -1:88:1989:172, 0:88:1989:172, 1:88:1989:172, 2:88:1989:172,
  -5:88:1990:172, -4:88:1990:172, -3:88:1990:172, -2:88:1990:172, -1:88:1990:172,
  0:88:1990:172, 1:88:1990:172, 2:88:1990:172, 3:88:1990:172, 4:88:1990:172, 5:88:1990:172,
  -6:88:1991:172, -5:88:1991:172, -4:88:1991:172, -3:88:1991:172, -2:88:1991:172,
  -1:88:1991:172, 0:88:1991:172, 1:88:1991:172, 2:88:1991:172, 3:88:1991:172, 4:88:1991:172,
  5:88:1991:172, 6:88:1991:172, -8:88:1992:172, -7:88:1992:172, -6:88:1992:172, -5:88:1992:172,
  -4:88:1992:172, -3:88:1992:172, -2:88:1992:172, -1:88:1992:172, 0:88:1992:172, 1:88:1992:172,
  2:88:1992:172, 3:88:1992:172, 4:88:1992:172, 5:88:1992:172, 6:88:1992:172, 7:88:1992:172,
  8:88:1992:172, -8:88:1993:172, -7:88:1993:172, -6:88:1993:172, -5:88:1993:172, -4:88:1993:172,
  -3:88:1993:172, -2:88:1993:172, -1:88:1993:172, 0:88:1993:172, 1:88:1993:172, 2:88:1993:172,
  3:88:1993:172, 4:88:1993:172, 5:88:1993:172, 6:88:1993:172, 7:88:1993:172, 8:88:1993:172,
  -9:88:1994:172, -8:88:1994:172, -7:88:1994:172, -6:88:1994:172, -5:88:1994:172,
  -4:88:1994:172, -3:88:1994:172, -2:88:1994:172, -1:88:1994:172, 0:88:1994:172, 1:88:1994:172,
  2:88:1994:172, 3:88:1994:172, 4:88:1994:172, 5:88:1994:172, 6:88:1994:172, 7:88:1994:172,
  8:88:1994:172, 9:88:1994:172, -10:88:1995:172, -9:88:1995:172, -8:88:1995:172, -7:88:1995:172,
  -6:88:1995:172, -5:88:1995:172, -4:88:1995:172, -3:88:1995:172, -2:88:1995:172,
  -1:88:1995:172, 0:88:1995:172, 1:88:1995:172, 2:88:1995:172, 3:88:1995:172, 4:88:1995:172,
  5:88:1995:172, 6:88:1995:172, 7:88:1995:172, 8:88:1995:172, 9:88:1995:172, 10:88:1995:172,
  -10:88:1996:172, -9:88:1996:172, -8:88:1996:172, -7:88:1996:172, -6:88:1996:172,
  -5:88:1996:172, -4:88:1996:172, -3:88:1996:172, -2:88:1996:172, -1:88:1996:172,
  0:88:1996:172, 1:88:1996:172, 2:88:1996:172, 3:88:1996:172, 4:88:1996:172, 5:88:1996:172,
  6:88:1996:172, 7:88:1996:172, 8:88:1996:172, 9:88:1996:172, 10:88:1996:172, -10:88:1997:172,
  -9:88:1997:172, -8:88:1997:172, -7:88:1997:172, -6:88:1997:172, -5:88:1997:172,
  -4:88:1997:172, -3:88:1997:172, -2:88:1997:172, -1:88:1997:172, 0:88:1997:172, 1:88:1997:172,
  2:88:1997:172, 3:88:1997:172, 4:88:1997:172, 5:88:1997:172, 6:88:1997:172, 7:88:1997:172,
  8:88:1997:172, 9:88:1997:172, 10:88:1997:172, -11:88:1998:172, -10:88:1998:172,
  -9:88:1998:172, -8:88:1998:172, -7:88:1998:172, -6:88:1998:172, -5:88:1998:172,
  -4:88:1998:172, -3:88:1998:172, -2:88:1998:172, -1:88:1998:172, 0:88:1998:172, 1:88:1998:172,
  2:88:1998:172, 3:88:1998:172, 4:88:1998:172, 5:88:1998:172, 6:88:1998:172, 7:88:1998:172,
  8:88:1998:172, 9:88:1998:172, 10:88:1998:172, 11:88:1998:172, -11:88:1999:172, -10:88:1999:172,
  -9:88:1999:172, -8:88:1999:172, -7:88:1999:172, -6:88:1999:172, -5:88:1999:172,
  -4:88:1999:172, -3:88:1999:172, -2:88:1999:172, -1:88:1999:172, 0:88:1999:172, 1:88:1999:172,
  2:88:1999:172, 3:88:1999:172, 4:88:1999:172, 5:88:1999:172, 6:88:1999:172, 7:88:1999:172,
  8:88:1999:172, 9:88:1999:172, 10:88:1999:172, 11:88:1999:172, -12:88:2000:5:1, -11:88:2000:172,
  -10:88:2000:172, -9:88:2000:172, -8:88:2000:172, -7:88:2000:172, -6:88:2000:172,
  -5:88:2000:172, -4:88:2000:172, -3:88:2000:172, -2:88:2000:172, -1:88:2000:172,
  0:88:2000:172, 1:88:2000:172, 2:88:2000:172, 3:88:2000:172, 4:88:2000:172, 5:88:2000:172,
  6:88:2000:172, 7:88:2000:172, 8:88:2000:172, 9:88:2000:172, 10:88:2000:172, 11:88:2000:172,
  12:88:2000:5:1, -11:88:2001:172, -10:88:2001:172, -9:88:2001:172, -8:88:2001:172,
  -7:88:2001:172, -6:88:2001:172, -5:88:2001:172, -4:88:2001:172, -3:88:2001:172,
  -2:88:2001:172, -1:88:2001:172, 0:88:2001:172, 1:88:2001:172, 2:88:2001:172, 3:88:2001:172,
  4:88:2001:172, 5:88:2001:172, 6:88:2001:172, 7:88:2001:172, 8:88:2001:172, 9:88:2001:172,
